// bulldozer storage "level1" last updated 16-11-2015 03:11:33
nextlevel = "level2"
"k11" 1 1
"a20" 6 0
"a19" 6 0
"a18" 6 0
"a17" 6 0
"a15" 6 0
"a14" 6 0
"a13" 6 0
"a12" 6 0
"a11" 6 0
"a10" 6 0
"a9" 6 0
"a8" 6 0
"a7" 6 0
"a6" 6 0
"a5" 6 0
"a4" 6 0
"a3" 6 0
"a2" 6 0
"a1" 6 0
"b1" 6 0
"c1" 6 0
"d1" 6 0
"e1" 6 0
"f1" 6 0
"g1" 6 0
"h1" 6 0
"i1" 6 0
"j1" 6 0
"k1" 6 0
"l1" 6 0
"m1" 6 0
"n1" 6 0
"o1" 6 0
"p1" 6 0
"q1" 6 0
"r1" 6 0
"s1" 6 0
"t1" 6 0
"t2" 6 0
"t3" 6 0
"t4" 6 0
"t5" 6 0
"t6" 6 0
"t7" 6 0
"t8" 6 0
"t9" 6 0
"t10" 6 0
"t11" 6 0
"t12" 6 0
"t13" 6 0
"t14" 6 0
"t15" 6 0
"t16" 6 0
"t17" 6 0
"t18" 6 0
"t19" 6 0
"t20" 6 0
"s20" 6 0
"r20" 6 0
"q20" 6 0
"p20" 6 0
"o20" 6 0
"n20" 6 0
"m20" 6 0
"l20" 6 0
"k20" 6 0
"j20" 6 0
"i20" 6 0
"h20" 6 0
"g20" 6 0
"f20" 6 0
"e20" 6 0
"d20" 6 0
"c20" 6 0
"b20" 6 0
"a16" 6 0
"b2" 4 0
"c18" 6 0
"e18" 6 0
"e17" 6 0
"e16" 6 0
"e15" 6 0
"e14" 6 0
"e13" 6 0
"e12" 6 0
"e11" 6 0
"f10" 4 0
"e9" 6 0
"e8" 6 0
"e7" 6 0
"e6" 6 0
"e5" 6 0
"e4" 6 0
"e3" 6 0
"e2" 6 0
"e19" 6 0
"c17" 6 0
"c16" 6 0
"c15" 6 0
"c14" 6 0
"c13" 6 0
"c12" 6 0
"c11" 6 0
"c10" 6 0
"c9" 6 0
"c8" 6 0
"c7" 6 0
"c6" 6 0
"c5" 6 0
"c4" 6 0
"c3" 6 0
"c2" 6 0
"c19" 6 0
"i14" 5 0
"f12" 4 0
"f11" 4 0
"e10" 6 0
"i10" 5 0
"h10" 5 0
"j10" 5 0
"j9" 5 0
"g11" 5 0
"j8" 5 0
"k8" 5 0
"l8" 5 0
"l9" 5 0
"i8" 4 0
"i9" 4 0
"m11" 5 0
"l10" 5 0
"n11" 5 0
"n13" 5 0
"n12" 5 0
"m13" 5 0
"k13" 5 0
"k14" 5 0
"k15" 5 0
"j15" 5 0
"i13" 5 0
"h15" 4 0
"h14" 4 0
"h13" 4 0
"g15" 4 0
"p17" 6 0
"p16" 6 0
"l13" 5 0
"h12" 5 0
"i15" 5 0
"l15" 4 0
"m15" 4 0
"l14" 4 0
"m14" 4 0
"n14" 4 0
"p15" 6 0
"p14" 6 0
"l11" 5 0
"h11" 2 0
"k9" 2 0
"j14" 2 0
"m12" 2 0
"l12" 3 0
"j11" 3 0
"j12" 3 0
"k10" 3 0
"i12" 5 0
"g12" 5 0
"g10" 5 0
"p13" 6 0
"p12" 6 0
"p11" 6 0
"p10" 6 0
"p9" 6 0
"p8" 6 0
"p7" 6 0
"p6" 6 0
"p5" 6 0
"p4" 6 0
"p3" 6 0
"p2" 6 0
"p18" 6 0
"p19" 6 0
"r16" 6 0
"r15" 6 0
"r14" 6 0
"r13" 6 0
"r12" 6 0
"r11" 6 0
"r10" 6 0
"r9" 6 0
"r8" 6 0
"r7" 6 0
"r6" 6 0
