// bulldozer storage "ending" last updated 16-11-2015 04:16:07
nextlevel = "level1"
"e15" 3 0
"f14" 3 0
"g13" 3 0
"k13" 3 0
"b14" 4 0
"a14" 4 0
"a13" 4 0
"b13" 4 0
"i13" 3 0
"m13" 3 0
"n14" 3 0
"o15" 3 0
"h17" 2 0
"l17" 2 0
"c12" 2 0
"c13" 2 0
"c14" 2 0
"r14" 2 0
"r13" 2 0
"r12" 2 0
"j15" 1 1
"s13" 4 0
"t13" 4 0
"t12" 4 0
"s12" 4 0
"b12" 4 0
"a12" 4 0
"a11" 4 0
"b11" 4 0
"c11" 4 0
"d11" 4 0
"e11" 4 0
"f11" 4 0
"g11" 4 0
"h11" 4 0
"i11" 4 0
"j11" 4 0
"k11" 4 0
"l11" 4 0
"m11" 4 0
"n11" 4 0
"o11" 4 0
"p11" 4 0
"q11" 4 0
"r11" 4 0
"s11" 4 0
"t11" 4 0
"t6" 6 0
"s10" 4 0
"r10" 4 0
"q10" 4 0
"b10" 6 0
"o10" 4 0
"c10" 6 0
"d10" 6 0
"e6" 4 0
"b9" 6 0
"b8" 6 0
"c7" 4 0
"b7" 6 0
"b6" 6 0
"c6" 6 0
"d6" 6 0
"f10" 6 0
"g10" 6 0
"h10" 6 0
"a10" 4 0
"a9" 4 0
"h9" 4 0
"c9" 4 0
"d9" 4 0
"h8" 4 0
"h7" 4 0
"i10" 6 0
"i9" 6 0
"j7" 4 0
"j6" 4 0
"j10" 4 0
"i8" 6 0
"m9" 4 0
"i7" 6 0
"o9" 4 0
"i6" 6 0
"q9" 4 0
"r9" 4 0
"s9" 4 0
"h6" 6 0
"g6" 6 0
"s8" 4 0
"r8" 4 0
"q8" 4 0
"f6" 6 0
"o8" 4 0
"f7" 6 0
"m8" 4 0
"f8" 6 0
"f9" 6 0
"k10" 6 0
"e10" 4 0
"d7" 4 0
"e9" 4 0
"e8" 4 0
"e7" 4 0
"l10" 6 0
"c8" 4 0
"m10" 6 0
"a8" 4 0
"a7" 4 0
"g7" 4 0
"g8" 4 0
"g9" 4 0
"n10" 6 0
"n9" 6 0
"n8" 6 0
"d8" 4 0
"n7" 6 0
"n6" 6 0
"m6" 6 0
"l6" 6 0
"m7" 4 0
"k6" 6 0
"o7" 4 0
"k7" 6 0
"q7" 4 0
"r7" 4 0
"s7" 4 0
"k8" 6 0
"k9" 6 0
"s6" 4 0
"p9" 6 0
"p8" 6 0
"p7" 6 0
"o6" 4 0
"p6" 6 0
"q6" 6 0
"r6" 6 0
"p10" 6 0
"j9" 4 0
"j8" 4 0
"t10" 6 0
"t9" 6 0
"t8" 6 0
"l7" 4 0
"l8" 4 0
"l9" 4 0
"t7" 4 0
"a6" 4 0
"a5" 4 0
"b5" 4 0
"c5" 4 0
"d5" 4 0
"e5" 4 0
"f5" 4 0
"g5" 4 0
"h5" 4 0
"i5" 4 0
"j5" 4 0
"k5" 4 0
"l5" 4 0
"m5" 4 0
"n5" 4 0
"o5" 4 0
"p5" 4 0
"q5" 4 0
"r5" 4 0
"s5" 4 0
"t5" 4 0
"t4" 4 0
"s4" 4 0
"r4" 4 0
"q4" 4 0
"p4" 4 0
"o4" 4 0
"n4" 4 0
"m4" 4 0
"l4" 4 0
"k4" 4 0
"j4" 4 0
"i4" 4 0
"h4" 4 0
"g4" 4 0
"f4" 4 0
"e4" 4 0
"d4" 4 0
"c4" 4 0
"b4" 4 0
"a4" 4 0
"a3" 4 0
"b3" 4 0
"c3" 4 0
"d3" 4 0
"e3" 4 0
"f3" 4 0
"g3" 4 0
"h3" 4 0
"i3" 4 0
"j3" 4 0
"k3" 4 0
"l3" 4 0
"m3" 4 0
"n3" 4 0
"o3" 4 0
"p3" 4 0
"q3" 4 0
"r3" 4 0
"s3" 4 0
"t3" 4 0
"t2" 4 0
"s2" 4 0
"r2" 4 0
"q2" 4 0
"p2" 4 0
"o2" 4 0
"n2" 4 0
"m2" 4 0
"l2" 4 0
"k2" 4 0
"j2" 4 0
"i2" 4 0
"h2" 4 0
"g2" 4 0
"f2" 4 0
"e2" 4 0
"d2" 4 0
"c2" 4 0
"b2" 4 0
"a2" 4 0
"a1" 4 0
"b1" 4 0
"c1" 4 0
"d1" 4 0
"e1" 4 0
"f1" 4 0
"g1" 4 0
"h1" 4 0
"i1" 4 0
"j1" 4 0
"k1" 4 0
"l1" 4 0
"m1" 4 0
"n1" 4 0
"o1" 4 0
"p1" 4 0
"q1" 4 0
"r1" 4 0
"s1" 4 0
"t1" 4 0
"t14" 4 0
"s14" 4 0
"b15" 4 0
"a15" 4 0
"a16" 4 0
"b16" 4 0
"s16" 4 0
"t16" 4 0
"t15" 4 0
"s15" 4 0
"t17" 4 0
"s17" 4 0
"b17" 4 0
"a17" 4 0
"a18" 4 0
"b18" 4 0
"s18" 4 0
"t18" 4 0
"t19" 4 0
"s19" 4 0
"r19" 4 0
"q19" 4 0
"p19" 4 0
"o19" 4 0
"n19" 4 0
"m19" 4 0
"l19" 4 0
"k19" 4 0
"j19" 4 0
"i19" 4 0
"h19" 4 0
"g19" 4 0
"f19" 4 0
"e19" 4 0
"d19" 4 0
"c19" 4 0
"b19" 4 0
"a19" 4 0
"a20" 4 0
"b20" 4 0
"c20" 4 0
"d20" 4 0
"e20" 4 0
"f20" 4 0
"g20" 4 0
"h20" 4 0
"i20" 4 0
"j20" 4 0
"k20" 4 0
"l20" 4 0
"m20" 4 0
"n20" 4 0
"o20" 4 0
"p20" 4 0
"q20" 4 0
"r20" 4 0
"s20" 4 0
"t20" 4 0
